Site_1Year2014
1	-5.0	-7.8	0.15	4.09	12.78	83.03
2	-6.7	-15.0	0.41	6.62	12.84	80.36
3	-11.1	-22.8	0.0	2.92	12.83	69.63
4	2.2	-12.2	0.0	5.31	12.92	82.78
5	1.7	-6.7	1.78	4.02	12.99	93.07
6	-6.7	-26.1	0.0	8.2	13.13	83.12
7	-13.9	-26.1	0.0	5.89	13.15	75.61
8	-7.2	-14.4	0.0	2.04	13.39	86.79
9	-1.1	-16.7	0.0	2.12	13.43	98.13
10	4.4	-1.1	0.76	3.71	13.59	97.51
11	7.8	0.6	0.0	5.44	13.53	93.99
12	5.0	-0.6	0.0	4.65	13.59	83.77
13	9.4	2.2	0.0	5.24	13.89	93.76
14	6.1	-2.2	0.0	4.32	13.88	79.49
15	-1.7	-6.7	0.0	5.25	14.0	68.39
16	-1.7	-8.3	0.0	5.66	14.24	84.03
17	0.6	-14.4	0.41	3.89	14.3	74.67
18	-6.7	-15.6	0.0	3.42	14.51	79.88
19	0.6	-11.7	0.38	6.22	14.58	84.78
20	1.7	-8.3	0.1	3.74	14.78	81.79
21	-8.3	-21.1	0.0	4.98	14.89	60.75
22	-11.1	-22.2	0.08	3.11	15.05	77.17
23	-11.7	-19.4	0.0	5.01	15.4	74.71
24	-7.2	-21.1	0.15	8.09	15.59	71.23
25	-1.1	-14.4	0.08	7.75	15.59	75.35
26	4.4	-16.7	0.2	5.41	15.89	88.91
27	-0.6	-22.8	0.0	7.29	16.05	64.88
28	-15.6	-26.7	0.0	4.06	16.25	68.18
29	-8.3	-21.7	0.0	4.95	16.22	71.19
30	-1.7	-11.7	0.0	6.24	16.52	76.16
31	1.1	-2.2	0.0	2.12	16.8	86.45
32	4.4	-2.2	0.13	2.68	16.95	97.27
33	0.0	-6.7	1.27	2.62	17.16	85.74
34	-3.3	-17.2	0.0	1.56	17.35	78.09
35	-5.0	-17.2	1.45	2.89	17.64	85.44
36	-3.3	-13.3	1.52	4.96	17.63	89.0
37	-7.2	-21.7	0.0	3.71	17.92	86.71
38	-12.8	-24.4	0.0	3.57	18.18	82.08
39	-8.3	-19.4	1.27	1.56	18.42	88.71
40	-5.6	-15.6	0.2	2.73	18.5	87.11
41	-9.4	-22.2	0.0	2.71	18.88	84.7
42	-10.6	-24.4	0.0	1.46	18.98	82.57
43	-6.7	-28.3	0.0	1.65	19.09	94.07
44	-1.1	-20.0	0.0	2.14	19.37	92.8
45	0.0	-7.2	0.0	4.21	19.58	87.17
46	-5.6	-12.8	0.0	2.64	20.04	85.32
47	-2.8	-12.8	0.0	2.39	20.07	89.31
48	0.0	-15.6	0.86	5.06	20.23	91.97
49	7.8	-5.6	0.0	5.01	20.52	89.86
50	7.8	-2.2	0.0	3.2	20.98	94.04
51	12.2	-3.3	1.45	5.2	21.16	100.0
52	6.7	1.1	0.0	8.04	21.29	71.73
53	5.0	-0.6	0.0	4.45	21.69	74.47
54	0.6	-5.0	0.0	3.87	21.62	70.02
55	-2.2	-8.9	0.13	5.14	22.15	65.37
56	-3.9	-8.3	0.0	3.98	22.29	69.35
57	-7.8	-12.8	0.0	5.32	22.57	56.49
58	-7.8	-15.0	0.0	5.87	22.61	56.56
59	-2.2	-16.7	0.0	2.92	23.0	65.65
